id,name,address,market,submarket,sale_date,class,units,year_built,sf,avg_sf,sale_price,cap_rate,ppu,psf,buyer,seller,notes,lat,lng
12,Desmond on Wilshire,"5520 Wilshire Blvd, Los Angeles, CA 90036",Los Angeles,Miracle Mile,2025-01-29,A,175,2016.0,144725.0,827.0,88000000.0,4.9,502857.0,608.05,Carmel Partners,Greystar,,34.0621793,-118.3485937
13,Alta Ink,"5750 Hollywood Blvd, Los Angeles, CA 90028",Los Angeles,Hollywood,2025-01-01,A,161,2021.0,136450.0,847.0,55000000.0,2.95,341614.0,403.08,Lighthouse Group,Wood Partners,,34.1013494,-118.3153453
14,La Belle,"6138 Franklin Ave, Los Angeles, CA 90028",Los Angeles,Hollywood,2024-12-20,A,146,2010.0,119063.0,815.0,52150000.0,4.7,357191.0,438.0,JSP,LaSalle,,34.1051602,-118.3233787
15,Estelle,1333 S Orange Grove A,Los Angeles,Los Angeles,2024-11-01,A,61,2020.0,90021.0,1475.0,41500000.0,4.6,680327.0,461.0,Brasa/Canfield,Green Cities,,34.052545,-118.3652416
16,The Gabriel,"2771 N Garey Ave, Pomona, CA 91767",Los Angeles,Pomona,2024-10-01,A,312,2022.0,275496.0,883.0,115000000.0,5.25,368589.0,417.43,Prime Residential,Greystar,"Property was just finishing lease up. T12 included heavy vacancy, concessions, opex, etc. Buyer closed at stabilization.",34.0955493,-117.748678
17,The Lofts at NoHo Commons,"11136 Chandler Blvd, North Hollywood",Los Angeles,North Hollywood,2024-10-17,A,292,2006.0,225001.0,771.0,92500000.0,5.5,316780.0,411.0,GPI Companies,Mwest Holdings/KBS,"The Lofts at Noho recently went under a $9 million renovation. This includes upgrades to EV charging spots, extensive murals, new signage, landscape, hardscape, and updating 85 percent of the interior market rate units.  The unit mix includes 251 studios and 41 one-bedroom units. Of the total unit count, 28 have been set aside as affordable. Nine units are available to households earning at or below 110 percent of the area median income (AMI), 14 are available at 60 percent of AMI, and five are available at 50 percent of AMI.",34.168015,-118.3730152
18,Canvas LA,"138 N Beaudry Ave, Los Angeles, CA 90012",Los Angeles,DTLA/Echo Park,2024-09-03,A,210,2008.0,178367.0,849.0,61500000.0,5.4,292857.0,344.79,Advance Real Estate,Magnolia Capital/Goldman Sachs,Previously sold in 2018 for $88.3M. Podium construction. 100% market rate,34.0598783,-118.2536247
19,The Highlands,"25909 Rolling Hills Rd, Torrance, CA 90505",Los Angeles,Torrance,2024-08-19,A,121,1970.0,110510.0,913.0,71500000.0,4.4,590909.0,647.0,Koto Estate Company,Ocean Ten,"Sold 2 years prior at $49.5MM / 107 units
Value-add business plan.",33.7874565,-118.3406057
20,The Landing at Arroyo,"1692 Sycamore Dr, Simi Valley, CA 93065",Ventura County,Simi Valley,2024-08-29,A,212,2022.0,201864.0,952.0,95000000.0,5.42,448113.0,470.61,Afton Properties,USA Properties Funds,Cap rate is T3/T12 with adjusted Ptax.,34.26805,-118.74487
21,Paragon at Old Town,"700 S Myrtle Ave, Monrovia, CA 91016",Los Angeles,Monrovia,2024-08-12,A,163,2010.0,154578.0,911.0,87250000.0,4.65,535276.0,564.44,SCS Development,Sequoia Equities,"Core-Plus, 6,077sf of retail that was 100% leased. Cap rate is T3/T12 with adjusted Ptax.",34.144689,-118.000846
